"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"East Asia & Pacific (developing only)","EAP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31318460942.1413","36223182810.3502","37792911633.5424","32145523147.0807","38224820308.0366","43013968645.4224","46005403525.5919","51160997062.887","45166017496.7953","61345374347.4472","67061577942.3938","80562858364.7173","97897873868.9203","104042659908.533","95084093147.6158","111622792274.032","127723070248.956","140257124284.63","153491449152.27","","",
"East Asia & Pacific (all income levels)","EAS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82240614735.7388","92064841619.1464","89939426054.4647","78615394015.3406","87072946023.5478","94191761549.2185","96503274662.9461","105999785547.134","107169989899.891","139955418541.31","151968434485.686","166974898524.83","200048692896.519","221685776896.666","210589802252.585","259824361989.463","303421605124.255","332355776726.543","360761048561.175","","",
"Europe & Central Asia (developing only)","ECA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7392693902.1963","8390033039.82782","10162437856.2225","11067878450.8157","8952739566.18926","12015736082.9","14954933481.3874","17537176755.6639","20196552391.3129","26406485058.543","33467660231.9566","33956475281.0388","41316216756.2232","50221807753.2823","45744667895.1614","45984980058.9282","53648468181.0952","56830379563.602","61811991205.7143","","",
"Europe & Central Asia (all income levels)","ECS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240112623376.035","254828111664.406","249036454407.928","261823762664.151","265656972969.816","263380128038.73","265679029591.782","283211036333.26","329373374840.399","384530399481.97","409813483777.408","445592072443.744","511021393080.856","558376287414.836","483926676312.258","483641294911.685","553248746167.769","536950197310.481","576421493158.134","","",
"Ecuador","ECU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315000000","330000000","335000000","330000000","377000000","451000000","438000000","449000000","408000000","464000000","488000000","492000000","626000000","745000000","674000000","786000000","849000000","1039000000","1251000000","","",
"Egypt, Arab Rep.","EGY","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2954000000","3583000000","4045800000","2942000000","4361000000","4657000000","4119000000","4133000000","4704000000","6328000000","7206000000","8133000000","10327000000","12104000000","11757000000","13633000000","9333000000","10823000000","7253000000","","",
"Euro area","EMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164613793000","170216330000","162559000000","173101000000","185833000000","182209000000","183207000000","194497000000","227985000000","263241000000","274858000000","297408000000","336364000000","363922000000","316367000000","311871000000","353993000000","338173000000","362353000000","","",
"Eritrea","ERI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58000000","69000000","90000000","34000000","28000000","36000000","74000000","73000000","74000000","73000000","66000000","60000000","61000000","46000000","26000000","","","","","","",
"Spain","ESP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27369000000","29751000000","28649000000","31592000000","33784000000","32656000000","33829000000","35468000000","43863000000","49996000000","53066000000","57543000000","65020000000","70434000000","59743000000","59042000000","67644000000","63253000000","67608000000","","",
"Estonia","EST","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452000000","565000000","597000000","668000000","702000000","657000000","661000000","737000000","883000000","1111000000","1229000000","1361000000","1416000000","1643000000","1445000000","1412000000","1683000000","1588000000","1791000000","","",
